14938089-2, 16MfNGBxJetj7k4sbePCknMqVWNFxVghhyqJYKxKKj7sQwCZ, 0x0681c94212192d63c64749eebaaacb465456ee76bb740bea261416cbc84dc061, 14938089, 300.0, 2000, 2023-04-04 12:38:00, xcmpallet, reserve_transfer_assets
14937783-3, 12dpZ2yU5Ytx47iZJGmrYcCZL1DnZFFK5ehDhGfADvjrYCY4, 0xcdbd6d20609f8ff949f6a1c62648a766a22e45f5601cf38d27ca61bb797830ec, 14937783, 1.34332, 2012, 2023-04-04 12:07:24, xcmpallet, reserve_transfer_assets
14937663-2, 12WaohRmeTRiawG6csCpqx51BtS73Qr43Reic4KhF4YH1RTH, 0x3fe90289b1f1ba917f37ad628dc51676e326f6d6186a22b6b57be493f445a4c8, 14937663, 191.9, 2000, 2023-04-04 11:55:24, xcmpallet, reserve_transfer_assets
14937632-2, 145tt4WK3SzCGohv6VYmB4SX6WrZPKT9XrPrq52jTQ2V7dsd, 0xaa2e2970b5ee79ea592a61ab2aaba40c67172230b99ba3dba6b36c5012c72620, 14937632, 9.60081, 2030, 2023-04-04 11:52:18, xcmpallet, reserve_transfer_assets
14937603-2, 16g5CyEzjzQ5ZmHtfZbwpenvkrzFXQVt61kwybviRHcXDZh2, 0x4c3bb1490603baa563c79af7ca083c60150417cba598389cc964791d21888e3e, 14937603, 41.61, 2000, 2023-04-04 11:49:24, xcmpallet, reserve_transfer_assets
14937115-5, 12L2LH1oTcYfZBpENjdAqZxbkK6eenioXFqjmjGdVuTDuyUM, 0xb2c851519cf6ef5b16853b8a557b0afed3e827beeada8c0c807837cbf2111347, 14937115, 31.40538, 2012, 2023-04-04 11:00:36, xcmpallet, reserve_transfer_assets
14936853-2, 13QasTkGNivC7voE515fPMyPU313bbvejXhx9FPjHZjaHJCq, 0xb9cbcc1562e8cc96f0e3364356449238358c40d047d0651a74340bde82b5f1a6, 14936853, 19.34167, 2000, 2023-04-04 10:34:24, xcmpallet, reserve_transfer_assets
14935708-3, 12NECMCLf1s39qpeAagtynBzdo43vKfVbDqGjTeV44F88QSb, 0xb3b012e33a212835642d8bd69f1f2e34689691bde0e7ed3f9a6a4ff3f2232bea, 14935708, 5.2, 2000, 2023-04-04 08:39:54, xcmpallet, reserve_transfer_assets
14935361-2, 13ttgYJnXw5QxCT3yNhn49CcZQy9N1PvNzWX7RcNzaMiyK6y, 0x2f82d2c6e4ce5413f8d120d93e27b282c04b97b269fbb9a01742b1a05ad53cda, 14935361, 100.0, 2012, 2023-04-04 08:05:12, xcmpallet, reserve_transfer_assets
14935180-2, 14pY2CLBZmdfX5rYS2bWokSzwKeTgADKBVfHxymXpZTnJht5, 0x77e275babf61617f63b4197d76bec091b5c69c8072fd6c505e8404dbd2de0476, 14935180, 161.9679, 2012, 2023-04-04 07:47:06, xcmpallet, reserve_transfer_assets
14935010-3, 16QKs9dRBu59TKHA4jKDdKHcPtH4SEZopAGpw3XFgtQeJxpj, 0xc2dab8bdd87f5b8faeb5db6e52623ee63f70739847f75ff49a6a03779d8b8be5, 14935010, 5.0, 2012, 2023-04-04 07:30:06, xcmpallet, reserve_transfer_assets
14934958-2, 12DzbvvbFySuhHXwcn1TRxq5SKaUc63uHwLkqq9H53uGc4Nx, 0x8f1bd5cf09f4c4c2d9a01c9f3d9895613c49ac0af5835f097b08f54c252802a6, 14934958, 85.03713, 2012, 2023-04-04 07:24:54, xcmpallet, reserve_transfer_assets
14934916-2, 14wbQDrmvj8xzviZcHqXSwZocVWZRpsbRR3dkZBeL9YceCx3, 0x7f38bdf278ba2a03274c9818353e6d3d6b59eaa0f3f49d4bb11160f5fd2923b9, 14934916, 1.84787, 2012, 2023-04-04 07:20:42, xcmpallet, reserve_transfer_assets
14934909-2, 12pXwigfEQJMVajfeXABJZnhrxuKX6ECyTPJ7GCuDiSdcWQi, 0x6596c53c95518d940fff517d3aaf3d306d92f2873030bfc22051580ce2f67c2a, 14934909, 0.48124, 2012, 2023-04-04 07:20:00, xcmpallet, reserve_transfer_assets
14934789-2, 16g5CyEzjzQ5ZmHtfZbwpenvkrzFXQVt61kwybviRHcXDZh2, 0xbb31a047f36e636538ba976dd948a559463cacc5ccb18810cb770d307e92055d, 14934789, 33.2, 2000, 2023-04-04 07:08:00, xcmpallet, reserve_transfer_assets
14933541-3, 15g4DWALTtDmBWnq3wDWsfnkKGkgYW1VX1B41nNGgTjp4ocN, 0x98c1b3100f9d8e59197258e1430d6cf94bc2380ec9f2244ed67dbe3cc36d7398, 14933541, 99.95, 2034, 2023-04-04 05:03:12, xcmpallet, reserve_transfer_assets
