3832630-4, 0x2140177263eed40b40f8d33916f04cbd9a7af915, 0x6754cd0d5a53eab287b45e43d690b593d2218ad91c8f7b7bcbf06cbc5205e1d4, 3832630, 7.5, 2023-03-17 01:16:00, balances, transfer_keep_alive
3831754-4, 0xa6f71753f6fc8ea396c5f87085f8db51dd740f18, 0x4d6356116167179f0e7e6d5ea8f61fab3a2095604a4f200183a02cdde47dc0df, 3831754, 7.0, 2023-03-16 22:18:06, balances, transfer_keep_alive
3831246-4, 0x832facd95a6b9e46459d79e6b56742a25224564b, 0x75f36642de1ee100ce2bc25ff59ddf37c8bf3d1039a301baf3d86e3ab8e124a3, 3831246, 0.0, 2023-03-16 20:33:30, balances, transfer_keep_alive
3829427-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0x3d499107b036ddfc3af757a94bc3de3c3c3470b57b09d8651cdd27eaddba4a64, 3829427, 0.94, 2023-03-16 14:23:54, balances, transfer_keep_alive
3829420-4, 0xc35816c8e615f49254bcf44bcede94efdaf43b1b, 0xe4d63f6b260bc6f4d4b380097e9b76d78185682f67a9de7aefa181c0319a52ec, 3829420, 2.2, 2023-03-16 14:22:30, balances, transfer_keep_alive
3822329-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0xa1837bb42704fe037609439b58311d5b646d091afa64366c9e618cea8d297dd4, 3822329, 1.25, 2023-03-15 14:18:12, balances, transfer_keep_alive
3821486-4, 0x2140177263eed40b40f8d33916f04cbd9a7af915, 0xbb4c47786b5efdd1c30f3f7d2a5356166a3290b433f7ae1c00dc7bb536cf134a, 3821486, 6.0, 2023-03-15 11:27:55, balances, transfer_keep_alive
3818558-4, 0x0a6e57652cefd1cb2862b5fcf76c58be673cc4aa, 0xa6a8b62c37b0399614b9bdb745fa3c9433bdca41d2c1df6051ffe5ef209d0b00, 3818558, 1.9, 2023-03-15 01:33:18, balances, transfer_keep_alive
3818552-5, 0xc35816c8e615f49254bcf44bcede94efdaf43b1b, 0x9eae46c2f41ad61d10e7f695dd91f66155425b13dadd00edd801a1f4e683fda6, 3818552, 1.3, 2023-03-15 01:32:06, balances, transfer_keep_alive
3818524-4, 0x457c23d4daa0082c5c932557cfcb38afd6613885, 0xa0ac1135defe7577f31883675f1a650b21b8c40163b4637d5f83e3fe5ce81d94, 3818524, 520.0, 2023-03-15 01:26:30, balances, transfer_keep_alive
3818289-4, 0x3efc795c754c9d7c89a4a36ae6bddea610f49a23, 0x6da0760b7fa6bff80a2b9c27e81220a981eb00bf2346de871db86bb0d3bc6fe5, 3818289, 11.5, 2023-03-15 00:38:18, balances, transfer_keep_alive
3818207-4, 0x7883076ef460ef1ba6ce2e266ce6f36fdec057ae, 0xf8a329ed5c4e4e94c3b2a8a04b2aef9c4c48c462beb996cffa3ed1f267fd6683, 3818207, 0.001, 2023-03-15 00:21:30, balances, transfer_keep_alive
3817547-4, 0x0b47c1a3d130a71cf53673b6034e367308f9d2e8, 0xb956527212d1c4585704ea863b80211e0ec97e5d510054b1cb8268ae4f6fa914, 3817547, 99.0, 2023-03-14 22:07:42, balances, transfer_keep_alive
3817083-9, 0x982572bf39c132f2f34dec7cd38440f0837dbe98, 0xe9571ffeecbc76db24c1e60152ba81b7983371690bfdc0d65160d3b047c3df04, 3817083, 0.0, 2023-03-14 20:32:54, balances, transfer_keep_alive
